task_id,arrival_time,completion_time,execution_time,latency,energy_consumption,vm_id,device_mobility_status,velocity_mps,deadline,resource_history_count,completion_rate_CR,execution_efficiency_EI,x1_delay_score,x2_energy_score,x3_resource_availability_score,x4_link_stability_score,y_tcri,x1,x2,x3,x4,y
2903,0.12,459.77,432.33,459.65,0.588,1,low,2.0,648.495,0,0.5,0.5,0.291205,0.706,0.5,0.818731,0.948439,0.291205,0.706,0.5,0.818731,0.948439
4152,0.31,535.13,489.42,534.82,0.287,10,low,2.0,734.13,0,0.5,0.5,0.271491,0.8565,0.5,0.818731,0.937901,0.271491,0.8565,0.5,0.818731,0.937901
4726,2.27,345.32,337.33,343.05,0.781,8,high,15.0,505.995,0,0.5,0.5,0.322029,0.6095,0.5,0.22313,0.961591,0.322029,0.6095,0.5,0.22313,0.961591
3627,6.53,285.03,237.53,278.5,0.548,8,medium,7.0,356.295,0,0.5,0.5,0.218344,0.726,0.5,0.496585,0.898753,0.218344,0.726,0.5,0.496585,0.898753
2912,14.74,269.57,227.87,254.83,1.323,4,low,2.0,341.805,0,0.5,0.5,0.254458,0.3385,0.5,0.818731,0.927209,0.254458,0.3385,0.5,0.818731,0.927209
3218,19.92,1037.18,997.02,1017.26,0.968,6,low,2.0,1495.53,0,0.5,0.5,0.3198,0.516,0.5,0.818731,0.960759,0.3198,0.516,0.5,0.818731,0.960759
2612,38.2,319.24,235.78,281.04,0.187,6,static,0.0,353.67,0,0.5,0.5,0.205361,0.9065,0.5,1.0,0.886312,0.205361,0.9065,0.5,1.0,0.886312
4412,41.87,1031.05,965.38,989.18,1.185,10,high,15.0,1448.07,0,0.5,0.5,0.316898,0.4075,0.5,0.22313,0.95965,0.316898,0.4075,0.5,0.22313,0.95965
2633,43.63,507.45,422.05,463.82,0.698,7,high,15.0,633.075,0,0.5,0.5,0.267354,0.651,0.5,0.22313,0.935447,0.267354,0.651,0.5,0.22313,0.935447
3318,53.13,805.08,712.71,751.95,1.354,8,medium,7.0,1069.065,0,0.5,0.5,0.296628,0.323,0.5,0.496585,0.951027,0.296628,0.323,0.5,0.496585,0.951027
2295,55.06,704.61,608.34,649.55,0.174,3,high,15.0,912.51,0,0.5,0.5,0.288172,0.913,0.5,0.22313,0.946935,0.288172,0.913,0.5,0.22313,0.946935
1484,57.59,260.27,169.11,202.68,0.596,1,high,15.0,253.665,0,0.5,0.5,0.200993,0.702,0.5,0.22313,0.881836,0.200993,0.702,0.5,0.22313,0.881836
4901,60.47,397.42,294.34,336.95,1.179,10,high,15.0,441.51,0,0.5,0.5,0.236824,0.4105,0.5,0.22313,0.914373,0.236824,0.4105,0.5,0.22313,0.914373
5340,61.84,133.4,32.08,71.56,1.385,3,low,2.0,48.12,0,0.5,0.5,0.0,0.3075,0.5,0.818731,0.007606,0.0,0.3075,0.5,0.818731,0.007606
1169,63.86,130.45,48.42,66.59,0.866,3,low,2.0,72.63,0,0.5,0.5,0.083161,0.567,0.5,0.818731,0.696696,0.083161,0.567,0.5,0.818731,0.696696
